Filename852-delno	Pade v menu	CategoryTag	Tag1	Področje	Tag3	Podlaga	Tehnika	Tag6	Tag7	Tag8	Tag9
napotitev_sploτno o OP v druτtvu po GDPR_0712-1 2018 1314.odt	IP RS | Mnenja IP	Mnenje IP	GDPR		društvo						
Neposredno trzenje, privolitev po GDPR_Jasmina.odt	IP RS | Mnenja IP	Mnenje IP	GDPR						privolitev		
neposredno trºenje GDPR_mnenje_Nuτa.odt	IP RS | Mnenja IP	Mnenje IP	GDPR							neposredno trženje	
neposredno trºenje in privolitve.odt	IP RS | Mnenja IP	Mnenje IP								neposredno trženje	
neposredno trºenje in privolitve_.odt	IP RS | Mnenja IP	Mnenje IP								neposredno trženje	
neposredno trºenje_mladoletni-MNENJE.odt	IP RS | Mnenja IP	Mnenje IP								neposredno trženje	
Nepristojnost_kazenska in civilna odgovornost_neupraviƒeno snemanje.odt	IP RS | Mnenja IP	Mnenje IP	snemanje					pristojnost IP	kazenski postopki		
neºelena poτta_Jasmina.odt	IP RS | Mnenja IP	Mnenje IP	pošta						neželena pošta		
neºelena poτta_Neja.odt	IP RS | Mnenja IP	Mnenje IP	pošta						neželena pošta		
neºeleni telefonski klici.odt	IP RS | Mnenja IP	Mnenje IP							neželena pošta		
NIJZ (vabljenje na revakcinacijo).odt	IP RS | Mnenja IP	Mnenje IP									
Novinarske adreme in soglasja.odt	IP RS | Mnenja IP	Mnenje IP							privolitev	novinarstvo	
nujnosti pred vzpostavitvijo videonadzora,29.5.2018.odt	IP RS | Mnenja IP	Mnenje IP					Videonadzor				
obdelava e-naslovov podjetij.odt	IP RS | Mnenja IP	Mnenje IP									
obdelava e-naslovov v zvezi z vabili na dogodke.odt	IP RS | Mnenja IP	Mnenje IP									
obdelava elektronskih naslovov.odt	IP RS | Mnenja IP	Mnenje IP			elektronska pošta						
obdelava na podlagi zakona_0712-1 2018 1234.odt	IP RS | Mnenja IP	Mnenje IP						pravni temelj			
obdelava OP s poslovnih vizitk.odt	IP RS | Mnenja IP	Mnenje IP									
obdelava OP s strani upravnikov.odt	IP RS | Mnenja IP	Mnenje IP									
obdelava OP v srednji τoli.odt	IP RS | Mnenja IP	Mnenje IP		Šolstvo							
obdelava OP varovancev.odt	IP RS | Mnenja IP	Mnenje IP									
obdelava OP_zavarovalni zastopniki.odt	IP RS | Mnenja IP	Mnenje IP						zavarovalnica			
Obdelava osebnih podatkov v druτtvu-gdpr- napotitev.odt	IP RS | Mnenja IP	Mnenje IP	GDPR		društvo						
obdelava osebnih podatkov v kontekstu pametnih τtevcev v domovih.odt	IP RS | Mnenja IP	Mnenje IP									
Obdelava osebnih podatkov-MNENJE.odt	IP RS | Mnenja IP	Mnenje IP									
obdelava podatkov v oglaτevalski agenciji.odt	IP RS | Mnenja IP	Mnenje IP						oglaševanje			
Objava poroƒila s poimensko navedbo prejemnikov in viτino prejetih sredstev.odt	IP RS | Mnenja IP	Mnenje IP									
Obvestilo o neuvedbi.odt	IP RS | Mnenja IP	Mnenje IP									
obveznost DPO,5.6.2018.odt	IP RS | Mnenja IP	Mnenje IP			DPO						
Obveznosti upravljavcev po GDPR.odt	IP RS | Mnenja IP	Mnenje IP	GDPR								
obvezonsti mikro podjetja.odt	IP RS | Mnenja IP	Mnenje IP									
obveτanje po elektrosnki poτti o dogodkih obƒine.odt	IP RS | Mnenja IP	Mnenje IP									
Obveτƒanje po elektronski poτti.odt	IP RS | Mnenja IP	Mnenje IP			elektronska pošta						
obƒutljivi zdravstveni podatki po poτti.odt	IP RS | Mnenja IP	Mnenje IP			občutljivi OP						Zdravstvo
ocenjevanje profesorjev.odt	IP RS | Mnenja IP	Mnenje IP									
Oddaja plaƒilne liste preko spletnega portala-.odt	IP RS | Mnenja IP	Mnenje IP	plače								
odpiranje zapornic s prepoznavo registrskih tablic.odt	IP RS | Mnenja IP	Mnenje IP									
odstotek lastnikov za namestitev videonadzora_0712-1 2018 1159.odt	IP RS | Mnenja IP	Mnenje IP					Videonadzor				
OP kupcev za namen garancije.odt	IP RS | Mnenja IP	Mnenje IP									
OP na oglasni deski delodajalca.odt	IP RS | Mnenja IP	Mnenje IP									
OP o osebnem steƒaju v SISBON.odt	IP RS | Mnenja IP	Mnenje IP						stečaj			
op zaposlenih.odt	IP RS | Mnenja IP	Mnenje IP	delovno razmerje								
Planinskidom_mnenje_knjigagostov.odt	IP RS | Mnenja IP	Mnenje IP									
plaƒilne liste po e-poτti,29.5.2018.odt	IP RS | Mnenja IP	Mnenje IP	plače								
podatki na oglasni deski veƒstanovanjske stavbe.odt	IP RS | Mnenja IP	Mnenje IP									
podatki na tekmovanju, poτta,13.6.2018.odt	IP RS | Mnenja IP	Mnenje IP	pošta								
podatki s.p.odt	IP RS | Mnenja IP	Mnenje IP									
podlaga za seznanjanje strank privatnega banƒniτtva s ponudbo.odt	IP RS | Mnenja IP	Mnenje IP						pravni temelj			
podlaga_GDPR.odt	IP RS | Mnenja IP	Mnenje IP	GDPR					pravni temelj			
podpis izjave o VOP.odt	IP RS | Mnenja IP	Mnenje IP									
podpisovanje s kvalificiranim digitalnim potrdilom in razkriti osebni podatki.odt	IP RS | Mnenja IP	Mnenje IP									
pogodba o DPO.odt	IP RS | Mnenja IP	Mnenje IP			DPO						
pogodba o obdelavi OP z zavarovalnico.odt	IP RS | Mnenja IP	Mnenje IP						zavarovalnica			
pogodbena obdelava OP_0712-1 2018 1545.odt	IP RS | Mnenja IP	Mnenje IP			pogodbena obdelava						
pogodbena obdelava podatkov_mnenje.odt	IP RS | Mnenja IP	Mnenje IP			pogodbena obdelava						
pogodbena obdelava raƒunovodski servis in steƒajni upravitelj.odt	IP RS | Mnenja IP	Mnenje IP			pogodbena obdelava			stečaj			
pogodbena obdelava, GDPR.odt	IP RS | Mnenja IP	Mnenje IP	GDPR		pogodbena obdelava						
poroƒilo o telefonskem pogovoru.odt	IP RS | Mnenja IP	Mnenje IP									
poslovna komunikacija.odt	IP RS | Mnenja IP	Mnenje IP									
posredovanje OP etaºnih lastnikov ƒlanici nadzornega odbora.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
posredovanje OP inτpekciji - za spajanje.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP						
posredovanje OP starτev s strani τole zaloºbi.odt	IP RS | Mnenja IP	Mnenje IP		Šolstvo	PosredovanjeOP						
posredovanje podatkov policiji.odt	IP RS | Mnenja IP	Mnenje IP			PosredovanjeOP			policija			
